x,y,time,x_f,y_f
1265,253,1688676182.1523716,570.501004904166,152.55600515066504
1304,254,1688676182.2734516,592.4196306810459,157.30686857446653
1348,285,1688676182.3796685,616.205301061511,162.16780668688295
1383,332,1688676182.4906478,641.7593803365489,167.25979723605602
1450,329,1688676182.625132,669.011072928282,172.70729863969615
1439,307,1688676182.7086337,697.8534249681691,178.4688091418302
1444,333,1688676182.8532207,728.0233267706019,184.44680132816123
1507,342,1688676182.961389,759.2951539953216,190.640577497752
1281,482,1688676183.0824018,791.2307484193503,197.26051187357362
1160,478,1688676183.2038982,822.8266727763593,204.64019288329257
1085,442,1688676183.3146698,853.1387826511095,212.79697750062698
1000,455,1688676183.4636862,881.603567057515,221.50908926554357
885,458,1688676183.5646782,907.7217860842887,230.6568190343837
840,420,1688676183.6803136,931.0604851664416,240.1129397819033
819,384,1688676183.7973206,951.4447130958472,249.6300605117913
820,353,1688676183.9181416,968.9401748393032,258.93962692501367
863,334,1688676184.0546567,983.7836014504207,267.83769843312524
828,331,1688676184.1965668,996.2433255574507,276.21008313240156
791,321,1688676184.2815585,1006.4035859345228,284.01184939405624
743,324,1688676184.3994553,1014.2170792749824,291.2280940432271
693,274,1688676184.518413,1019.617161675746,297.7991392061725
682,237,1688676184.6389499,1022.5934682678043,303.55825599906166
682,231,1688676184.7663512,1023.2782747225631,308.3668735143281
709,215,1688676184.8810601,1021.9321736636521,312.2017230286661
735,199,1688676185.0015125,1018.8939103775391,315.0637893908601
803,200,1688676185.121424,1014.574565345726,316.9698970615627
802,240,1688676185.2440238,1009.3699484526948,318.04756029135336
811,250,1688676185.3651276,1003.5135009542294,318.5108753473496
814,252,1688676185.4806647,997.1373980217826,318.51254976983057
800,258,1688676185.5974674,990.3351325850008,318.1304389714409
790,272,1688676185.7197618,983.1401532998559,317.44816234261094
788,308,1688676185.8419242,975.5832240112271,316.603778741746
779,322,1688676185.965185,967.7130204550774,315.7656818229666
733,314,1688676186.0815861,959.5119829561407,315.0200944464249
708,341,1688676186.1998906,950.8785046373623,314.3982426673995
664,378,1688676186.3298175,941.7037106455695,314.01224626906316
647,393,1688676186.4511862,931.907993646555,314.00935127696846
681,420,1688676186.5551872,921.5496541316842,314.4868575427209
594,447,1688676186.682068,910.6958619089432,315.53193886457143
487,364,1688676186.814678,899.100740457744,317.07581071207386
399,313,1688676186.9125986,886.3407622418695,318.7787987786782
